,NOME,ANO_PESQUISA,ANO_INGRESSO,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,FASE,TURMA,NIVEL_IDEAL,PONTO_VIRADA,INDICADO_BOLSA,BOLSISTA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IEG,IDA,IPV,IAA,IPS,IPP,IAN,CF,CG,CT,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,DEFASAGEM,SINALIZADOR_INGRESSANTE,NOTA_PORT,NOTA_MAT,NOTA_ING
402,ALUNO-712,2020,,Escola Pública,11.0,0.0,1,B,,Não,,,7.588752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.6,7.5,7.75,8.500020000000001,7.5,7.1875,5.0,,,,,,,,,,,,,,,,,
403,ALUNO-713,2020,,Escola Pública,11.0,1.0,2,J,,Não,,,6.066944666666666,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.8,1.5,7.555553333333333,5.83334,7.5,5.624999999999999,10.0,,,,,,,,,,,,,,,,,
404,ALUNO-714,2020,,Escola Pública,16.0,2.0,7,A,,Não,,,5.550414999999999,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,2.7,4.5,6.333325,7.5,4.375,6.5625,10.0,,,,,,,,,,,,,,,,,
405,ALUNO-716,2020,,Escola Pública,9.0,1.0,2,G,,Não,,,7.709168666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.9,3.5,7.833333333333333,9.000020000000001,7.5,8.125,10.0,,,,,,,,,,,,,,,,,
406,ALUNO-718,2020,,Escola Pública,14.0,1.0,2,N,,Não,,,5.546668666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.4,0.0,7.5,9.000020000000001,4.375,7.291666666666667,5.0,,,,,,,,,,,,,,,,,
407,ALUNO-719,2020,,Escola Pública,10.0,3.0,2,F,,Não,,,5.688333333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.4,1.5,6.49999,8.000020000000001,4.375,7.708333333333334,10.0,,,,,,,,,,,,,,,,,
408,ALUNO-720,2020,,Escola Pública,17.0,1.0,5,L,,Não,,,6.325276333333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.3,4.0,7.72222,6.24999,6.25,7.708333333333334,5.0,,,,,,,,,,,,,,,,,
409,ALUNO-721,2020,,Escola Pública,12.0,1.0,1,G,,Não,,,5.660002,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.3,4.0,7.0,7.50002,5.0,2.5,5.0,,,,,,,,,,,,,,,,,
410,ALUNO-724,2020,,Escola Pública,11.0,1.0,2,R,,Não,,,7.861945333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.4,6.0,8.055553333333332,6.91668,7.5,7.291666666666667,10.0,,,,,,,,,,,,,,,,,
411,ALUNO-725,2020,,Escola Pública,11.0,2.0,2,M,,Não,,,6.730835000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,3.3,7.0,7.916665,9.000020000000001,5.0,6.875,10.0,,,,,,,,,,,,,,,,,
