,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NOME,ANO,FASE,TURMA,REC_EQUIPE_4,CF,REC_AVA_3,CG,REC_AVA_1,REC_EQUIPE_2,BOLSISTA,REC_AVA_2,NIVEL_IDEAL,ANO_INGRESSO,REC_EQUIPE_1,REC_EQUIPE_3,REC_AVA_4,QTD_AVAL,DEFASAGEM,SINALIZADOR_INGRESSANTE,INDICADO_BOLSA,CT,NOTA_PORT,NOTA_MAT,NOTA_ING
0,Escola Pública,11,2,Não,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,8.7,7.5,7,5.9375,7.75,10,ALUNO-1,2020,2,H,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,ALUNO-2,2020,,,,,,,,,,,,,,,,,,,,,,,
2,Escola Pública,12,2,Não,7.856389666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10,ALUNO-3,2020,3,H,,,,,,,,,,,,,,,,,,,,,
3,Escola Pública,10,2,Não,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,4.1,6.875,0,7.1875,7.75,5,ALUNO-4,2020,1,D,,,,,,,,,,,,,,,,,,,,,
4,Escola Pública,10,1,Não,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8,7.5,7.5,8.4375,8.166665,10,ALUNO-5,2020,2,M,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,ALUNO-6,2020,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,ALUNO-7,2020,,,,,,,,,,,,,,,,,,,,,,,
7,Rede Decisão/União,14,3,Sim,8.381390666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10,ALUNO-8,2020,4,L,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,ALUNO-9,2020,,,,,,,,,,,,,,,,,,,,,,,
9,Escola Pública,13,1,Não,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.83333,5.2,3.75,0,7.96875,6.8333325,10,ALUNO-10,2020,3,B,,,,,,,,,,,,,,,,,,,,,
10,Escola Pública,8,0,Sim,9.712504000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10,8.125,10,10,10.00001,10,ALUNO-11,2020,0,A,,,,,,,,,,,,,,,,,,,,,
11,Rede Decisão/União,14,3,Não,5.838887333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5,ALUNO-12,2020,3,G,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,ALUNO-13,2020,,,,,,,,,,,,,,,,,,,,,,,
13,Escola Pública,11,2,Não,6.434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,7.6,6.875,0,8.4375,7.916665,10,ALUNO-14,2020,2,M,,,,,,,,,,,,,,,,,,,,,
14,Escola Pública,12,1,Não,5.162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,4,7.5,0,8.125,7.25,5,ALUNO-15,2020,2,D,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,ALUNO-16,2020,,,,,,,,,,,,,,,,,,,,,,,
16,Escola Pública,13,2,Não,7.766252,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,6.8,7.5,10,6.5625,7.75,5,ALUNO-17,2020,1,G,,,,,,,,,,,,,,,,,,,,,
17,Escola Pública,14,3,Não,7.2055576666666665,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,7,7.5,6.5,7.083333333333334,7.944446666666665,5,ALUNO-18,2020,3,E,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,ALUNO-19,2020,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,ALUNO-20,2020,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,ALUNO-21,2020,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,ALUNO-22,2020,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,ALUNO-23,2020,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,ALUNO-24,2020,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,ALUNO-25,2020,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,ALUNO-26,2020,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,ALUNO-27,2020,,,,,,,,,,,,,,,,,,,,,,,
27,Rede Decisão/União,13,2,Sim,9.354725666666667,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.6,6.875,9,10,9.944453333333334,10,ALUNO-28,2020,3,J,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,ALUNO-29,2020,,,,,,,,,,,,,,,,,,,,,,,
29,Escola Pública,7,0,Não,7.125001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.9166799999999995,10,7.5,4.75,2.5,6.916665,10,ALUNO-30,2020,0,C,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,ALUNO-31,2020,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,ALUNO-32,2020,,,,,,,,,,,,,,,,,,,,,,,
32,Escola Pública,13,0,Não,7.013888333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10,ALUNO-33,2020,3,E,,,,,,,,,,,,,,,,,,,,,
33,Escola Pública,12,2,Não,7.698890666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.3,6.875,7,8.125,7.944443333333334,5,ALUNO-34,2020,2,C,,,,,,,,,,,,,,,,,,,,,
34,Escola Pública,18,3,Não,6.64396,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.1,6.25,5,7.65625,8.29167,5,ALUNO-35,2020,7,B,,,,,,,,,,,,,,,,,,,,,
35,Escola Pública,14,1,Não,8.307780333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,9.9,7.5,8,8.749999999999998,8.222226666666668,5,ALUNO-36,2020,3,C,,,,,,,,,,,,,,,,,,,,,
36,Escola Pública,10,2,Não,6.6788913333333335,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,7.7,4.375,2.5,6.458333333333333,7.77778,10,ALUNO-37,2020,2,N,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,ALUNO-38,2020,,,,,,,,,,,,,,,,,,,,,,,
38,Escola Pública,13,3,Não,8.131388333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10,ALUNO-39,2020,3,F,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,ALUNO-40,2020,,,,,,,,,,,,,,,,,,,,,,,
40,Escola Pública,11,0,Não,7.460002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5,ALUNO-41,2020,1,D,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,ALUNO-42,2020,,,,,,,,,,,,,,,,,,,,,,,
42,Escola Pública,13,2,Não,7.8052090000000005,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,7.5,7.5,7,7.96875,8.04167,10,ALUNO-43,2020,4,F,,,,,,,,,,,,,,,,,,,,,
43,Escola Pública,9,0,Não,6.218335,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.8,7.5,0,6.25,7.916665,10,ALUNO-44,2020,1,M,,,,,,,,,,,,,,,,,,,,,
44,Escola Pública,11,1,Não,6.631252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,1,7.5,10,7.8125,7.75,5,ALUNO-45,2020,1,G,,,,,,,,,,,,,,,,,,,,,
45,Escola Pública,8,0,Não,6.966669,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,10,7.5,0,7.5,7.583335,10,ALUNO-46,2020,0,C,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,ALUNO-47,2020,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,ALUNO-48,2020,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,ALUNO-49,2020,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,ALUNO-50,2020,,,,,,,,,,,,,,,,,,,,,,,
50,Escola Pública,8,1,Não,8.955835,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500020000000001,9.8,7.5,10,8.125,7.416665,10,ALUNO-51,2020,0,D,,,,,,,,,,,,,,,,,,,,,
51,Escola Pública,10,2,Não,8.181112666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,8.6,6.25,7,7.916666666666668,8.22222,10,ALUNO-52,2020,2,F,,,,,,,,,,,,,,,,,,,,,
52,Einstein,15,4,,8.696667999999999,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,10,7.5,8.2,0,0,10,ALUNO-53,2020,5,X,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,ALUNO-54,2020,,,,,,,,,,,,,,,,,,,,,,,
54,Rede Decisão/União,17,3,Sim,6.878125166666666,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,9,7.5,6.333333333333333,8.28125,8.666667499999999,5,ALUNO-55,2020,6,C,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,ALUNO-56,2020,,,,,,,,,,,,,,,,,,,,,,,
56,Rede Decisão/União,16,2,Não,7.311667166666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10,ALUNO-57,2020,6,B,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,ALUNO-58,2020,,,,,,,,,,,,,,,,,,,,,,,
58,Escola Pública,13,0,Não,6.563055666666668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,3.6,7.5,6,7.291666666666667,6.444439999999998,10,ALUNO-59,2020,3,E,,,,,,,,,,,,,,,,,,,,,
59,Rede Decisão/União,17,4,Não,7.679582333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.7,6.875,6.666666666666667,8.4375,8.124995,5,ALUNO-60,2020,5,F,,,,,,,,,,,,,,,,,,,,,
60,Escola Pública,10,0,Não,5.604168666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,7.5,0,6.875,7.333333333333333,5,ALUNO-61,2020,1,N,,,,,,,,,,,,,,,,,,,,,
61,Escola Pública,12,0,Não,6.330001333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.9166799999999995,6.9,7.5,3.5,7.083333333333333,7.5,5,ALUNO-62,2020,2,L,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,ALUNO-63,2020,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,ALUNO-64,2020,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,ALUNO-65,2020,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,ALUNO-66,2020,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,ALUNO-67,2020,,,,,,,,,,,,,,,,,,,,,,,
67,Escola Pública,10,0,Não,5.988752,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.6,7.5,0,7.1875,8,5,ALUNO-68,2020,1,F,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,ALUNO-69,2020,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,ALUNO-70,2020,,,,,,,,,,,,,,,,,,,,,,,
70,Escola Pública,10,1,Não,7.550001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10,5,9.5,2.5,7.749995,5,ALUNO-71,2020,0,A,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,ALUNO-72,2020,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,ALUNO-73,2020,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,ALUNO-74,2020,,,,,,,,,,,,,,,,,,,,,,,
74,Rede Decisão/União,11,1,Sim,9.687504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,10,10,9,9.375,9.75001,10,ALUNO-75,2020,3,L,,,,,,,,,,,,,,,,,,,,,
75,Escola Pública,7,0,Não,8.958334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.91668,10,10,10,7.5,6.58333,10,ALUNO-76,2020,0,B,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,ALUNO-77,2020,,,,,,,,,,,,,,,,,,,,,,,
77,Escola Pública,10,3,Não,7.352085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,9,7.5,5.5,7.1875,7.666665,5,ALUNO-78,2020,1,A,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,ALUNO-79,2020,,,,,,,,,,,,,,,,,,,,,,,
79,Escola Pública,10,1,Não,6.499723333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.9166799999999995,9.2,7.5,0,7.291666666666667,7.444443333333333,10,ALUNO-80,2020,2,N,,,,,,,,,,,,,,,,,,,,,
80,Escola Pública,15,1,Sim,7.386391000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,5.41667,8.8,7.5,6,8.125,9.11112,5,ALUNO-81,2020,4,L,,,,,,,,,,,,,,,,,,,,,
81,Escola Pública,9,0,Não,7.954169,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10,7.5,8.5,6.875,7.333335,5,ALUNO-82,2020,0,D,,,,,,,,,,,,,,,,,,,,,
82,Rede Decisão/União,14,4,Sim,8.155003333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.4,5.625,5.333333333333333,8.958333333333332,9.166676666666666,10,ALUNO-83,2020,4,B,,,,,,,,,,,,,,,,,,,,,
83,Escola Pública,8,0,Não,8.750001000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10,10,8.5,7.5,6.999995,10,ALUNO-84,2020,0,B,,,,,,,,,,,,,,,,,,,,,
84,Escola Pública,9,1,Não,7.263334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,9.9,2.5,10,2.5,6.66666,5,ALUNO-85,2020,0,D,,,,,,,,,,,,,,,,,,,,,
85,Escola Pública,17,1,Não,5.688333833333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,4.9,7.5,3.6666666666666665,7.5,5.7083325,5,ALUNO-86,2020,6,A,,,,,,,,,,,,,,,,,,,,,
86,Rede Decisão/União,14,4,Sim,8.188612666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.2,5.625,6.666666666666667,8.749999999999998,8.722226666666666,10,ALUNO-87,2020,4,L,,,,,,,,,,,,,,,,,,,,,
87,Rede Decisão/União,11,2,Sim,9.040420000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000020000000001,9.4,7.5,9.5,5.9375,9.58334,10,ALUNO-88,2020,2,D,,,,,,,,,,,,,,,,,,,,,
88,Escola Pública,9,1,Não,7.937502,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000020000000001,10,7.5,7.5,6.875,7.5,5,ALUNO-89,2020,0,G,,,,,,,,,,,,,,,,,,,,,
89,Escola Pública,14,1,Não,7.073542833333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,5.8,7.5,7.666666666666667,7.96875,7.5000025,5,ALUNO-90,2020,3,M,,,,,,,,,,,,,,,,,,,,,
90,Escola Pública,10,2,Não,6.846668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.4,6.875,4.5,5.625,7.58333,10,ALUNO-91,2020,2,H,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,ALUNO-92,2020,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,ALUNO-93,2020,,,,,,,,,,,,,,,,,,,,,,,
93,Escola Pública,12,1,Não,6.7552085,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,6,7.5,4,7.96875,7.5000025,10,ALUNO-94,2020,3,B,,,,,,,,,,,,,,,,,,,,,
94,Escola Pública,15,1,Não,7.336876333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.2,7.5,6.666666666666667,7.96875,6.791665,5,ALUNO-95,2020,3,A,,,,,,,,,,,,,,,,,,,,,
95,Escola Pública,18,1,Sim,6.432500999999999,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.1,6.875,3,7.5,8.791664999999998,5,ALUNO-96,2020,7,A,,,,,,,,,,,,,,,,,,,,,
96,Escola Pública,12,2,Não,7.393752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500020000000001,8,7.5,6,8.4375,7.75,5,ALUNO-97,2020,2,D,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,ALUNO-98,2020,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,ALUNO-99,2020,,,,,,,,,,,,,,,,,,,,,,,
99,Escola Pública,12,2,Não,6.908335000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,4.375,7.5,6.875,7.916665,5,ALUNO-100,2020,1,M,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,ALUNO-101,2020,,,,,,,,,,,,,,,,,,,,,,,
101,Escola Pública,9,0,Não,7.966668666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.5,7.5,7,7.5,7.833333333333333,10,ALUNO-102,2020,1,J,,,,,,,,,,,,,,,,,,,,,
